Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
7,Sun,October 25,8:20PM ET,boxscore,W,OT,5-2,,Seattle Seahawks,37,34,31,519,360,159,2,33,572,372,200,3,13.97,-11.75,0.78
9,Sun,November 8,4:25PM ET,boxscore,L,,5-3,,Miami Dolphins,31,34,26,442,264,178,1,24,312,221,91,,17.94,-15.28,-6.36
10,Sun,November 15,4:05PM ET,boxscore,W,,6-3,,Buffalo Bills,32,30,26,453,236,217,2,22,369,296,73,2,8.17,-3.67,-4.77
11,Thu,November 19,8:20PM ET,boxscore,L,,6-4,@,Seattle Seahawks,21,28,24,314,257,57,,22,347,182,165,,8.96,-16.03,-0.39
12,Sun,November 29,1:00PM ET,boxscore,L,,6-5,@,New England Patriots,17,20,23,298,160,138,1,16,179,69,110,2,0.00,4.68,-9.06
13,Sun,December 6,4:05PM ET,boxscore,L,,6-6,,Los Angeles Rams,28,38,18,232,140,92,2,30,463,344,119,1,-0.60,-18.92,6.43
14,Sun,December 13,1:00PM ET,boxscore,W,,7-6,@,New York Giants,26,7,22,390,231,159,,10,159,81,78,3,1.35,18.89,1.81
15,Sun,December 20,4:05PM ET,boxscore,W,,8-6,,Philadelphia Eagles,33,26,26,526,423,103,3,26,422,305,117,,4.72,-10.01,12.58
16,Sat,December 26,4:30PM ET,boxscore,L,,8-7,,San Francisco 49ers,12,20,20,350,230,120,2,22,398,171,227,1,-10.15,-9.69,10.68
17,Sun,January 3,4:25PM ET,boxscore,L,,8-8,@,Los Angeles Rams,7,18,15,214,166,48,1,21,333,223,110,2,-13.48,6.77,-2.44
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 12,1:00PM ET,boxscore,W,,1-0,@,Tennessee Titans,38,13,22,416,280,136,1,17,248,162,86,3,8.83,14.48,1.57
2,Sun,September 19,4:05PM ET,boxscore,W,,2-0,,Minnesota Vikings,34,33,21,474,371,103,2,22,419,242,177,,11.99,-12.56,0.90
3,Sun,September 26,1:00PM ET,boxscore,W,,3-0,@,Jacksonville Jaguars,31,19,23,407,316,91,1,20,361,202,159,4,13.26,7.87,-9.13
4,Sun,October 3,4:05PM ET,boxscore,W,,4-0,@,Los Angeles Rams,37,20,27,465,249,216,,24,401,280,121,2,21.72,-8.94,2.64
5,Sun,October 10,4:25PM ET,boxscore,W,,5-0,,San Francisco 49ers,17,10,20,304,210,94,1,19,338,186,152,1,1.74,6.53,0.47
6,Sun,October 17,4:05PM ET,boxscore,W,,6-0,@,Cleveland Browns,37,14,24,352,208,144,,16,290,217,73,3,16.91,10.01,-1.93
7,Sun,October 24,4:25PM ET,boxscore,W,,7-0,,Houston Texans,31,5,24,397,225,172,1,8,160,118,42,1,13.37,23.71,-10.47
8,Thu,October 28,8:20PM ET,boxscore,L,,7-1,,Green Bay Packers,21,24,22,334,260,74,3,24,335,184,151,,9.86,-7.88,-6.65
9,Sun,November 7,4:25PM ET,boxscore,W,,8-1,@,San Francisco 49ers,31,17,22,437,274,163,,22,337,298,39,3,17.45,-2.10,-2.39
10,Sun,November 14,4:05PM ET,boxscore,L,,8-2,,Carolina Panthers,10,34,11,169,104,65,2,24,341,175,166,2,-19.35,-2.27,-1.02
11,Sun,November 21,4:25PM ET,boxscore,W,,9-2,@,Seattle Seahawks,23,13,29,413,318,95,,16,266,180,86,,17.70,1.84,-8.60
13,Sun,December 5,1:00PM ET,boxscore,W,,10-2,@,Chicago Bears,33,22,14,257,120,137,,26,329,217,112,4,6.68,6.69,-3.93
14,Mon,December 13,8:15PM ET,boxscore,L,,10-3,,Los Angeles Rams,23,30,22,447,344,103,2,18,356,267,89,,0.66,-13.49,3.55
15,Sun,December 19,1:00PM ET,boxscore,L,,10-4,@,Detroit Lions,12,30,23,398,293,105,1,22,338,212,126,1,-3.11,-9.87,-1.31
16,Sat,December 25,8:15PM ET,boxscore,L,,10-5,,Indianapolis Colts,16,22,20,378,245,133,,20,346,220,126,,6.97,-2.37,-6.29
17,Sun,January 2,4:25PM ET,boxscore,W,,11-5,@,Dallas Cowboys,25,22,23,399,272,127,,19,301,256,45,1,12.86,-6.87,-1.06
18,Sun,January 9,4:25PM ET,boxscore,L,,11-6,,Seattle Seahawks,30,38,20,305,187,118,1,19,431,229,202,2,0.21,-12.83,1.02
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 11,4:25PM ET,boxscore,L,,0-1,,Kansas City Chiefs,21,44,18,282,179,103,,33,488,360,128,1,2.29,-33.41,6.88
2,Sun,September 18,4:25PM ET,boxscore,W,OT,1-1,@,Las Vegas Raiders,29,23,28,413,270,143,1,20,324,244,80,1,12.00,-4.86,1.75
3,Sun,September 25,4:25PM ET,boxscore,L,,1-2,,Los Angeles Rams,12,20,23,365,295,70,,15,339,239,100,1,0.80,-5.31,-5.72
4,Sun,October 2,4:05PM ET,boxscore,W,,2-2,@,Carolina Panthers,26,16,20,338,206,132,1,11,220,180,40,3,-6.14,19.54,-1.90
5,Sun,October 9,4:25PM ET,boxscore,L,,2-3,,Philadelphia Eagles,17,20,23,363,239,124,1,24,357,218,139,,12.33,-10.63,-5.16
6,Sun,October 16,4:05PM ET,boxscore,L,,2-4,@,Seattle Seahawks,9,19,15,315,171,144,2,19,296,160,136,1,-14.01,8.22,-5.25
7,Thu,October 20,8:15PM ET,boxscore,W,,3-4,,New Orleans Saints,42,34,21,326,189,137,,25,494,409,85,3,13.74,-5.93,1.75
8,Sun,October 30,1:00PM ET,boxscore,L,,3-5,@,Minnesota Vikings,26,34,25,375,297,78,3,25,381,208,173,1,2.87,-10.22,-3.71
9,Sun,November 6,4:05PM ET,boxscore,L,,3-6,,Seattle Seahawks,21,31,15,262,140,122,1,27,421,263,158,1,-5.02,-10.67,-0.90
10,Sun,November 13,4:25PM ET,boxscore,W,,4-6,@,Los Angeles Rams,27,17,18,298,220,78,,18,256,190,66,2,5.83,5.36,-0.48
