Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
8,Sun,November 1,4:25PM ET,boxscore,L,OT,5-3,,New Orleans Saints,23,26,18,329,233,96,1,23,394,272,122,,0.10,-6.13,4.30
9,Sun,November 8,1:00PM ET,boxscore,L,,5-4,@,Tennessee Titans,17,24,22,375,319,56,2,11,228,136,92,,-12.79,3.34,1.50
10,Mon,November 16,8:15PM ET,boxscore,L,,5-5,,Minnesota Vikings,13,19,10,149,108,41,2,19,385,286,99,2,-18.69,3.86,8.08
12,Sun,November 29,8:20PM ET,boxscore,L,,5-6,@,Green Bay Packers,25,41,26,350,229,121,3,28,393,211,182,,6.85,-27.57,-0.48
13,Sun,December 6,1:00PM ET,boxscore,L,,5-7,,Detroit Lions,30,34,26,389,249,140,1,24,460,400,60,1,12.10,-17.66,0.80
14,Sun,December 13,1:00PM ET,boxscore,W,,6-7,,Houston Texans,36,7,23,410,241,169,,17,263,155,108,2,16.71,8.67,2.22
15,Sun,December 20,1:00PM ET,boxscore,W,,7-7,@,Minnesota Vikings,33,27,23,397,198,199,1,26,407,249,158,1,14.23,-11.76,4.00
16,Sun,December 27,1:00PM ET,boxscore,W,,8-7,@,Jacksonville Jaguars,41,17,28,391,263,128,1,14,279,203,76,2,20.23,4.85,-2.73
17,Sun,January 3,4:25PM ET,boxscore,L,,8-8,,Green Bay Packers,16,35,21,356,248,108,2,17,316,237,79,1,4.91,-22.83,3.56
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 12,8:20PM ET,boxscore,L,,0-1,@,Los Angeles Rams,14,34,24,322,188,134,2,18,386,312,74,,-0.85,-21.58,0.52
2,Sun,September 19,1:00PM ET,boxscore,W,,1-1,,Cincinnati Bengals,20,17,16,206,83,123,1,14,248,179,69,4,-11.15,16.14,-1.51
3,Sun,September 26,1:00PM ET,boxscore,L,,1-2,@,Cleveland Browns,6,26,6,47,1,46,,26,418,203,215,,-19.73,-6.11,2.28
4,Sun,October 3,1:00PM ET,boxscore,W,,2-2,,Detroit Lions,24,14,20,373,185,188,1,23,351,261,90,2,12.01,-1.56,0.02
5,Sun,October 10,4:05PM ET,boxscore,W,,3-2,@,Las Vegas Raiders,20,9,19,252,109,143,,16,259,188,71,1,2.39,7.14,2.05
6,Sun,October 17,1:00PM ET,boxscore,L,,3-3,,Green Bay Packers,14,24,21,277,137,140,1,22,323,169,154,,4.93,-14.93,-0.30
7,Sun,October 24,4:25PM ET,boxscore,L,,3-4,@,Tampa Bay Buccaneers,3,38,17,311,168,143,5,28,408,226,182,1,-18.58,-16.41,4.77
8,Sun,October 31,1:00PM ET,boxscore,L,,3-5,,San Francisco 49ers,22,33,22,324,148,176,1,21,467,322,145,,9.87,-21.75,2.14
