Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
9,Sun,November 8,1:00PM ET,boxscore,L,,2-6,,New York Giants,20,23,19,402,365,37,5,22,350,184,166,,2.73,-1.55,-4.12
10,Sun,November 15,1:00PM ET,boxscore,L,,2-7,@,Detroit Lions,27,30,34,464,375,89,1,21,372,267,105,,19.77,-15.43,-6.95
11,Sun,November 22,1:00PM ET,boxscore,W,,3-7,,Cincinnati Bengals,20,9,20,325,161,164,1,18,272,202,70,2,-0.93,11.45,-0.86
12,Thu,November 26,4:30PM ET,boxscore,W,,4-7,@,Dallas Cowboys,41,16,22,338,156,182,1,13,247,187,60,2,8.38,17.92,1.40
13,Mon,December 7,5:00PM ET,boxscore,W,,5-7,@,Pittsburgh Steelers,23,17,18,318,273,45,,17,326,305,21,1,-7.02,5.70,3.99
14,Sun,December 13,4:25PM ET,boxscore,W,,6-7,@,San Francisco 49ers,23,15,12,193,95,98,1,21,344,236,108,3,-19.42,25.61,0.12
15,Sun,December 20,1:00PM ET,boxscore,L,,6-8,,Seattle Seahawks,15,20,26,353,269,84,2,16,302,121,181,1,1.41,-3.17,-4.40
16,Sun,December 27,4:05PM ET,boxscore,L,,6-9,,Carolina Panthers,13,20,20,386,278,108,4,19,280,167,113,2,-5.49,5.85,-7.24
17,Sun,January 3,8:20PM ET,boxscore,W,,7-9,@,Philadelphia Eagles,20,14,16,248,145,103,2,16,216,98,118,3,-8.33,11.71,3.56
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 12,1:00PM ET,boxscore,L,,0-1,,Los Angeles Chargers,16,20,15,259,133,126,1,27,424,334,90,2,1.45,-9.45,1.24
2,Thu,September 16,8:20PM ET,boxscore,W,,1-1,,New York Giants,30,29,25,407,320,87,1,21,391,228,163,,12.19,-10.45,-0.60
3,Sun,September 26,1:00PM ET,boxscore,L,,1-2,@,Buffalo Bills,21,43,13,290,212,78,3,29,481,359,122,,-8.27,-20.55,7.29
4,Sun,October 3,1:00PM ET,boxscore,W,,2-2,@,Atlanta Falcons,34,30,26,412,290,122,,24,374,275,99,,18.15,-19.36,3.26
5,Sun,October 10,1:00PM ET,boxscore,L,,2-3,,New Orleans Saints,22,33,26,373,242,131,2,18,369,271,98,2,-7.31,-8.56,3.41
6,Sun,October 17,1:00PM ET,boxscore,L,,2-4,,Kansas City Chiefs,13,31,15,276,182,94,2,29,499,390,109,3,-5.66,-9.15,-1.44
7,Sun,October 24,1:00PM ET,boxscore,L,,2-5,@,Green Bay Packers,10,24,25,430,235,195,2,19,304,247,57,1,-0.39,-8.64,-3.31
8,Sun,October 31,4:25PM ET,boxscore,L,,2-6,@,Denver Broncos,10,17,21,342,230,112,2,17,273,190,83,1,1.75,-5.10,-2.71
10,Sun,November 14,1:00PM ET,boxscore,W,,3-6,,Tampa Bay Buccaneers,29,19,23,320,226,94,1,14,273,220,53,2,10.01,-3.21,0.67
11,Sun,November 21,1:00PM ET,boxscore,W,,4-6,@,Carolina Panthers,27,21,24,369,179,190,1,18,297,186,111,,13.28,-6.37,0.05
12,Mon,November 29,8:15PM ET,boxscore,W,,5-6,,Seattle Seahawks,17,15,27,371,219,152,1,10,267,233,34,1,6.29,2.58,-2.42
13,Sun,December 5,4:05PM ET,boxscore,W,,6-6,@,Las Vegas Raiders,17,15,23,298,186,112,1,22,310,234,76,,8.22,-6.39,0.07
14,Sun,December 12,1:00PM ET,boxscore,L,,6-7,,Dallas Cowboys,20,27,14,224,124,100,4,19,323,201,122,2,-25.49,12.16,2.14
15,Tue,December 21,7:00PM ET,boxscore,L,,6-8,@,Philadelphia Eagles,17,27,14,237,174,63,,23,519,281,238,2,-0.64,-13.15,5.36
16,Sun,December 26,8:20PM ET,boxscore,L,,6-9,@,Dallas Cowboys,14,56,14,257,172,85,2,28,497,389,108,,-10.62,-31.30,-0.47
17,Sun,January 2,1:00PM ET,boxscore,L,,6-10,,Philadelphia Eagles,16,20,24,312,218,94,1,18,330,212,118,,2.61,-9.44,2.02
18,Sun,January 9,1:00PM ET,boxscore,W,,7-10,@,New York Giants,22,7,16,325,99,226,,10,177,83,94,3,0.23,20.98,-7.21
,,,,,,,,,,,,,,,,,,,,,,,,
