Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
9,Sun,November 7,1:00PM ET,boxscore,L,,1-8,@,Miami Dolphins,9,17,14,272,199,73,4,22,262,215,47,5,-19.43,8.14,4.21
11,Sun,November 21,1:00PM ET,boxscore,W,,2-8,@,Tennessee Titans,22,13,15,190,107,83,,26,420,317,103,5,-10.90,6.86,10.33
12,Sun,November 28,1:00PM ET,boxscore,L,,2-9,,New York Jets,14,21,13,202,106,96,1,18,266,109,157,1,-9.28,2.68,1.61
13,Sun,December 5,1:00PM ET,boxscore,L,,2-10,,Indianapolis Colts,0,31,9,141,57,84,2,26,389,151,238,1,-28.83,-12.97,9.16
14,Sun,December 12,1:00PM ET,boxscore,L,,2-11,,Seattle Seahawks,13,33,25,380,317,63,,20,453,260,193,,-2.60,-21.71,9.75
15,Sun,December 19,1:00PM ET,boxscore,W,,3-11,@,Jacksonville Jaguars,30,16,13,281,206,75,1,21,296,189,107,,-0.77,1.90,10.61
16,Sun,December 26,1:00PM ET,boxscore,W,,4-11,,Los Angeles Chargers,41,29,26,437,248,189,,25,417,328,89,3,24.35,-5.49,-2.75
17,Sun,January 2,4:05PM ET,boxscore,L,,4-12,@,San Francisco 49ers,7,23,15,222,136,86,1,19,416,241,175,1,-7.88,-5.70,-0.16
18,Sun,January 9,1:00PM ET,boxscore,L,,4-13,,Tennessee Titans,25,28,18,353,289,64,,23,405,281,124,,13.08,-21.60,1.97
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 11,1:00PM ET,boxscore,T,OT,0-0-1,,Indianapolis Colts,20,20,20,299,222,77,1,33,517,340,177,2,-2.14,-5.67,9.43
2,Sun,September 18,4:25PM ET,boxscore,L,,0-1-1,@,Denver Broncos,9,16,15,234,154,80,,20,350,201,149,1,-12.19,-3.38,5.20
3,Sun,September 25,1:00PM ET,boxscore,L,,0-2-1,@,Chicago Bears,20,23,17,329,237,92,2,17,363,82,281,2,-1.75,-2.69,1.18
4,Sun,October 2,1:00PM ET,boxscore,L,,0-3-1,,Los Angeles Chargers,24,34,16,346,215,131,2,22,419,338,81,1,2.14,-15.96,4.62
5,Sun,October 9,1:00PM ET,boxscore,W,,1-3-1,@,Jacksonville Jaguars,13,6,15,248,132,116,,22,422,286,136,2,-2.00,2.39,3.89
7,Sun,October 23,4:05PM ET,boxscore,L,,1-4-1,@,Las Vegas Raiders,20,38,21,404,296,108,1,25,400,236,164,,5.28,-23.48,1.03
8,Sun,October 30,4:05PM ET,boxscore,L,,1-5-1,,Tennessee Titans,10,17,10,161,118,43,1,16,354,40,314,2,-14.53,-2.29,7.78
9,Thu,November 3,8:15PM ET,boxscore,L,,1-6-1,,Philadelphia Eagles,17,29,20,303,135,168,2,24,360,217,143,1,1.89,-17.84,2.38
10,Sun,November 13,1:00PM ET,boxscore,L,,1-7-1,@,New York Giants,16,24,22,387,286,101,2,19,367,176,191,,0.40,-10.29,0.41
11,Sun,November 20,1:00PM ET,boxscore,L,,1-8-1,,Washington Commanders,10,23,11,148,127,21,2,20,344,191,153,,-15.79,-4.31,2.12
12,Sun,November 27,1:00PM ET,boxscore,L,,1-9-1,@,Miami Dolphins,15,30,14,210,174,36,3,25,339,273,66,1,-22.74,1.90,3.97
13,Sun,December 4,1:00PM ET,boxscore,L,,1-10-1,,Cleveland Browns,14,27,16,283,201,82,4,14,304,130,174,2,-23.84,13.96,-5.52
14,Sun,December 11,1:00PM ET,boxscore,L,,1-11-1,@,Dallas Cowboys,23,27,16,327,213,114,2,21,404,277,127,3,-8.28,-1.61,6.35
15,Sun,December 18,1:00PM ET,boxscore,L,OT,1-12-1,,Kansas City Chiefs,24,30,18,219,125,94,1,33,502,313,189,2,2.21,-13.62,6.34
16,Sat,December 24,1:00PM ET,boxscore,W,,2-12-1,@,Tennessee Titans,19,14,15,285,215,70,1,16,272,88,184,3,-5.71,10.96,-2.10
17,Sun,January 1,1:00PM ET,boxscore,L,,2-13-1,,Jacksonville Jaguars,3,31,13,277,193,84,1,20,337,168,169,2,-23.38,-4.68,4.10
18,Sun,January 8,1:00PM ET,boxscore,W,,3-13-1,@,Indianapolis Colts,32,31,18,360,301,59,3,25,398,202,196,3,-0.16,-3.77,3.89
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 10,1:00PM ET,boxscore,L,,0-1,@,Baltimore Ravens,9,25,18,268,196,72,1,18,265,155,110,2,-15.24,0.55,0.49
2,Sun,September 17,1:00PM ET,boxscore,L,,0-2,,Indianapolis Colts,20,31,24,389,337,52,1,19,353,227,126,,7.88,-14.21,-4.04
3,Sun,September 24,1:00PM ET,boxscore,W,,1-2,@,Jacksonville Jaguars,37,17,15,366,280,86,,22,404,288,116,2,13.65,-3.88,10.46
4,Sun,October 1,1:00PM ET,boxscore,W,,2-2,,Pittsburgh Steelers,30,6,24,451,312,139,,12,225,111,114,1,15.66,8.54,-2.59
5,Sun,October 8,1:00PM ET,boxscore,L,,2-3,@,Atlanta Falcons,19,21,17,313,249,64,,26,447,351,96,2,2.73,-6.01,1.01
6,Sun,October 15,1:00PM ET,boxscore,W,,3-3,,New Orleans Saints,20,13,19,297,177,120,1,24,430,341,89,2,8.10,-5.96,3.91
8,Sun,October 29,1:00PM ET,boxscore,L,,3-4,@,Carolina Panthers,13,15,16,229,119,110,1,20,224,180,44,,-3.60,-0.91,2.13
9,Sun,November 5,1:00PM ET,boxscore,W,,4-4,,Tampa Bay Buccaneers,39,37,26,496,443,53,1,21,332,251,81,1,16.65,-13.23,-5.81
10,Sun,November 12,1:00PM ET,boxscore,W,,5-4,@,Cincinnati Bengals,30,27,28,544,356,188,3,20,380,314,66,2,13.25,-4.94,-4.46
11,Sun,November 19,1:00PM ET,boxscore,W,,6-4,,Arizona Cardinals,21,16,22,419,308,111,3,20,319,196,123,2,4.22,1.11,-0.49
12,Sun,November 26,1:00PM ET,boxscore,L,,6-5,,Jacksonville Jaguars,21,24,19,352,261,91,,22,445,364,81,1,8.20,-13.92,-3.64
13,Sun,December 3,1:00PM ET,boxscore,W,,7-5,,Denver Broncos,22,17,14,353,264,89,,16,282,164,118,3,-1.15,4.63,0.91
14,Sun,December 10,1:00PM ET,boxscore,L,,7-6,@,New York Jets,6,30,10,135,54,81,,20,347,268,79,1,-22.37,-2.85,3.08
15,Sun,December 17,1:00PM ET,boxscore,W,OT,8-6,@,Tennessee Titans,19,16,21,340,192,148,1,14,204,138,66,1,-9.00,8.62,3.38
16,Sun,December 24,1:00PM ET,boxscore,L,,8-7,,Cleveland Browns,22,36,20,250,178,72,2,26,418,364,54,2,-9.69,-12.38,8.56
17,Sun,December 31,1:00PM ET,boxscore,W,,9-7,,Tennessee Titans,26,3,20,312,201,111,,11,187,134,53,1,3.77,18.77,-1.45
18,Sat,January 6,8:15PM ET,boxscore,W,,10-7,@,Indianapolis Colts,23,19,16,306,246,60,,21,360,133,227,1,5.93,-3.98,-1.85
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 8,1:00PM ET,boxscore,W,,1-0,@,Indianapolis Colts,29,27,26,417,204,213,,14,303,199,104,1,16.76,-7.56,-2.53
