Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
8,Sun,November 1,4:25PM ET,boxscore,L,,4-4,@,Seattle Seahawks,27,37,24,351,299,52,2,27,350,249,101,,14.29,-17.90,-8.73
9,Thu,November 5,8:20PM ET,boxscore,L,,4-5,,Green Bay Packers,17,34,17,337,282,55,2,21,405,294,111,,0.24,-19.59,3.72
10,Sun,November 15,4:25PM ET,boxscore,L,,4-6,@,New Orleans Saints,13,27,21,281,232,49,4,17,237,123,114,2,-8.03,2.66,-6.47
12,Sun,November 29,4:05PM ET,boxscore,W,,5-6,@,Los Angeles Rams,23,20,18,345,233,112,3,14,308,182,126,4,-14.81,19.57,-2.68
13,Mon,December 7,8:15PM ET,boxscore,L,,5-7,,Buffalo Bills,24,34,24,402,316,86,2,31,449,368,81,1,6.59,-18.14,-0.36
14,Sun,December 13,4:25PM ET,boxscore,L,,5-8,,Washington Football Team,15,23,21,344,236,108,3,12,193,95,98,1,-25.61,19.42,-0.12
15,Sun,December 20,1:00PM ET,boxscore,L,,5-9,@,Dallas Cowboys,33,41,28,458,308,150,4,15,291,204,87,,11.28,-4.47,-12.91
16,Sat,December 26,4:30PM ET,boxscore,W,,6-9,@,Arizona Cardinals,20,12,22,398,171,227,1,20,350,230,120,2,9.69,10.15,-10.68
17,Sun,January 3,4:25PM ET,boxscore,L,,6-10,,Seattle Seahawks,23,26,17,328,242,86,1,21,280,159,121,,2.58,-5.26,-0.32
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 12,1:00PM ET,boxscore,W,,1-0,@,Detroit Lions,41,33,21,442,311,131,2,31,430,314,116,1,15.48,-5.16,-1.73
2,Sun,September 19,1:00PM ET,boxscore,W,,2-0,@,Philadelphia Eagles,17,11,23,306,189,117,,18,328,177,151,,7.86,-5.30,2.68
3,Sun,September 26,8:20PM ET,boxscore,L,,2-1,,Green Bay Packers,28,30,26,298,231,67,2,21,353,253,100,,12.19,-15.14,0.95
4,Sun,October 3,4:05PM ET,boxscore,L,,2-2,,Seattle Seahawks,21,28,23,457,314,143,2,14,234,129,105,,8.61,-2.20,-14.31
5,Sun,October 10,4:25PM ET,boxscore,L,,2-3,@,Arizona Cardinals,10,17,19,338,186,152,1,20,304,210,94,1,-6.53,-1.74,-0.47
7,Sun,October 24,8:20PM ET,boxscore,L,,2-4,,Indianapolis Colts,18,30,13,280,169,111,4,17,295,147,148,2,-15.30,-1.16,4.24
8,Sun,October 31,1:00PM ET,boxscore,W,,3-4,@,Chicago Bears,33,22,21,467,322,145,,22,324,148,176,1,21.75,-9.87,-2.14
9,Sun,November 7,4:25PM ET,boxscore,L,,3-5,,Arizona Cardinals,17,31,22,337,298,39,3,22,437,274,163,,2.10,-17.45,2.39
10,Mon,November 15,8:15PM ET,boxscore,W,,4-5,,Los Angeles Rams,31,10,20,335,179,156,,16,278,226,52,2,11.33,7.18,0.70
11,Sun,November 21,1:00PM ET,boxscore,W,,5-5,@,Jacksonville Jaguars,30,10,25,333,162,171,,14,200,146,54,2,17.86,1.83,0.08
12,Sun,November 28,4:25PM ET,boxscore,W,,6-5,,Minnesota Vikings,34,26,23,423,215,208,1,17,323,256,67,2,8.93,4.16,-6.10
13,Sun,December 5,4:00PM ET,boxscore,L,,6-6,@,Seattle Seahawks,23,30,17,365,294,71,3,21,327,181,146,3,-0.51,-2.27,-3.44
14,Sun,December 12,1:00PM ET,boxscore,W,OT,7-6,@,Cincinnati Bengals,26,23,21,355,255,100,,22,397,311,86,2,4.60,-11.63,10.68
15,Sun,December 19,4:05PM ET,boxscore,W,,8-6,,Atlanta Falcons,31,13,23,397,235,162,1,13,275,213,62,1,20.53,9.41,-11.46
16,Thu,December 23,8:20PM ET,boxscore,L,,8-7,@,Tennessee Titans,17,20,22,389,306,83,2,16,278,188,90,,5.48,-2.96,-2.72
17,Sun,January 2,4:05PM ET,boxscore,W,,9-7,,Houston Texans,23,7,19,416,241,175,1,15,222,136,86,1,5.70,7.88,0.16
18,Sun,January 9,4:25PM ET,boxscore,W,OT,10-7,@,Los Angeles Rams,27,24,23,449,314,135,2,19,265,201,64,2,15.33,-8.42,-3.91
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 11,1:00PM ET,boxscore,L,,0-1,@,Chicago Bears,10,19,17,331,155,176,2,15,204,105,99,1,-11.26,-0.67,0.42
2,Sun,September 18,4:05PM ET,boxscore,W,,1-1,,Seattle Seahawks,27,7,25,373,184,189,,14,216,180,36,3,16.39,9.18,-7.67
3,Sun,September 25,8:20PM ET,boxscore,L,,1-2,@,Denver Broncos,10,11,13,267,179,88,3,14,261,160,101,,-16.39,13.59,-1.26
4,Mon,October 3,8:15PM ET,boxscore,W,,2-2,,Los Angeles Rams,24,9,13,327,239,88,,21,257,200,57,2,10.05,11.56,-7.93
5,Sun,October 9,4:05PM ET,boxscore,W,,3-2,@,Carolina Panthers,37,15,22,397,244,153,1,15,308,244,64,1,16.04,13.22,-7.82
6,Sun,October 16,1:00PM ET,boxscore,L,,3-3,@,Atlanta Falcons,14,28,21,346,296,50,3,18,289,121,168,,0.59,-11.56,1.69
7,Sun,October 23,4:25PM ET,boxscore,L,,3-4,,Kansas City Chiefs,23,44,25,444,343,101,3,24,529,417,112,2,3.59,-30.58,8.50
8,Sun,October 30,4:25PM ET,boxscore,W,,4-4,@,Los Angeles Rams,31,14,22,368,257,111,,16,223,167,56,,23.18,-3.37,-2.48
10,Sun,November 13,8:20PM ET,boxscore,W,,5-4,,Los Angeles Chargers,22,16,22,387,230,157,1,12,238,187,51,1,6.20,7.29,-5.38
11,Mon,November 21,8:15PM ET,boxscore,W,,6-4,@,Arizona Cardinals,38,10,21,387,228,159,,19,314,247,67,2,20.26,9.44,-1.43
12,Sun,November 27,4:25PM ET,boxscore,W,,7-4,,New Orleans Saints,13,0,21,317,221,96,,14,260,197,63,2,2.05,8.15,2.22
13,Sun,December 4,4:05PM ET,boxscore,W,,8-4,,Miami Dolphins,33,17,24,351,230,121,1,14,308,275,33,4,1.78,13.36,1.00
14,Sun,December 11,4:25PM ET,boxscore,W,,9-4,,Tampa Bay Buccaneers,35,7,24,404,195,209,1,18,322,253,69,3,18.39,13.41,-0.43
15,Thu,December 15,8:15PM ET,boxscore,W,,10-4,@,Seattle Seahawks,21,13,15,381,211,170,,16,277,207,70,1,9.75,11.24,-8.96
16,Sat,December 24,4:05PM ET,boxscore,W,,11-4,,Washington Commanders,37,20,14,371,218,153,1,21,349,270,79,2,9.41,2.45,3.02
17,Sun,January 1,4:05PM ET,boxscore,W,OT,12-4,@,Las Vegas Raiders,37,34,27,454,284,170,1,29,500,365,135,2,23.25,-13.83,-6.49
18,Sun,January 8,4:25PM ET,boxscore,W,,13-4,,Arizona Cardinals,38,13,21,311,142,169,,11,255,194,61,4,9.62,15.23,0.80
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 10,1:00PM ET,boxscore,W,,1-0,@,Pittsburgh Steelers,30,7,22,391,203,188,1,15,239,198,41,2,9.73,13.55,-0.78
2,Sun,September 17,4:05PM ET,boxscore,W,,2-0,@,Los Angeles Rams,30,23,21,365,206,159,,28,386,297,89,2,12.36,-3.31,-2.05
3,Thu,September 21,8:15PM ET,boxscore,W,,3-0,,New York Giants,30,12,26,441,300,141,,10,150,121,29,1,19.00,11.82,-9.72
4,Sun,October 1,4:25PM ET,boxscore,W,,4-0,,Arizona Cardinals,35,16,30,395,271,124,,23,362,257,105,,30.46,-9.72,-1.63
5,Sun,October 8,8:20PM ET,boxscore,W,,5-0,,Dallas Cowboys,42,10,25,421,251,170,1,8,197,140,57,4,12.84,23.12,-5.21
6,Sun,October 15,1:00PM ET,boxscore,L,,5-1,@,Cleveland Browns,17,19,15,215,107,108,1,18,334,174,160,2,-6.05,11.32,-7.34
7,Mon,October 23,8:15PM ET,boxscore,L,,5-2,@,Minnesota Vikings,17,22,19,325,260,65,3,24,452,378,74,1,5.43,-16.30,6.07
8,Sun,October 29,4:25PM ET,boxscore,L,,5-3,,Cincinnati Bengals,17,31,24,460,347,113,3,29,400,266,134,1,9.25,-18.30,2.48
10,Sun,November 12,1:00PM ET,boxscore,W,,6-3,@,Jacksonville Jaguars,34,3,20,437,293,144,,12,221,162,59,4,15.13,18.16,-3.53
11,Sun,November 19,4:05PM ET,boxscore,W,,7-3,,Tampa Bay Buccaneers,27,14,22,420,305,115,,22,287,221,66,2,14.22,2.05,-2.57
12,Thu,November 23,8:20PM ET,boxscore,W,,8-3,@,Seattle Seahawks,31,13,23,377,208,169,1,14,220,132,88,2,8.06,10.62,-0.59
13,Sun,December 3,4:25PM ET,boxscore,W,,9-3,@,Philadelphia Eagles,42,19,24,456,310,146,,23,333,287,46,,33.55,-6.22,-2.11
14,Sun,December 10,4:05PM ET,boxscore,W,,10-3,,Seattle Seahawks,28,16,19,527,354,173,2,17,324,254,70,2,19.70,1.61,-3.47
15,Sun,December 17,4:05PM ET,boxscore,W,,11-3,@,Arizona Cardinals,45,29,24,406,262,144,,22,436,202,234,2,26.28,-5.83,-1.07
16,Mon,December 25,8:15PM ET,boxscore,L,,11-4,,Baltimore Ravens,19,33,21,429,308,121,5,23,343,241,102,,-4.26,-11.84,1.31
17,Sun,December 31,1:00PM ET,boxscore,W,,12-4,@,Washington Commanders,27,10,28,408,224,184,,12,225,163,62,2,16.30,6.62,-3.50
18,Sun,January 7,4:25PM ET,boxscore,L,,12-5,,Los Angeles Rams,20,21,20,300,175,125,1,19,258,149,109,1,9.48,-11.30,-2.42
,,,,,,,,,,,,,,,,,,,,,,,,
1,Mon,September 9,8:15PM ET,boxscore,W,,1-0,,New York Jets,32,19,24,401,221,180,,14,266,198,68,2,11.24,2.83,0.93
2,Sun,September 15,1:00PM ET,boxscore,L,,1-1,@,Minnesota Vikings,17,23,24,396,294,102,2,17,403,257,146,2,0.86,-3.76,-4.39
3,Sun,September 22,4:25PM ET,boxscore,L,,1-2,@,Los Angeles Rams,24,27,25,425,288,137,1,19,296,198,98,,19.10,-15.13,-3.14
4,Sun,September 29,4:05PM ET,boxscore,W,,2-2,,New England Patriots,30,13,19,431,283,148,2,12,216,143,73,3,11.48,24.17,-16.28
5,Sun,October 6,4:05PM ET,boxscore,L,,2-3,,Arizona Cardinals,23,24,22,384,231,153,3,19,358,189,169,1,-0.37,-5.15,4.89
6,Thu,October 10,8:15PM ET,boxscore,W,,3-3,@,Seattle Seahawks,36,24,21,483,255,228,,22,358,306,52,3,19.50,-0.59,-7.06
7,Sun,October 20,4:25PM ET,boxscore,L,,3-4,,Kansas City Chiefs,18,28,19,310,209,101,3,22,329,145,184,2,-4.03,-5.57,-2.89
8,Sun,October 27,8:20PM ET,boxscore,W,,4-4,,Dallas Cowboys,30,24,19,469,246,223,,18,292,236,56,2,12.85,-2.84,2.18
10,Sun,November 10,1:00PM ET,boxscore,W,,5-4,@,Tampa Bay Buccaneers,23,20,24,413,338,75,1,18,215,105,110,,18.50,-0.91,-15.44
11,Sun,November 17,4:05PM ET,boxscore,L,,5-5,,Seattle Seahawks,17,20,21,277,146,131,1,19,289,195,94,1,4.48,-3.33,-1.86
12,Sun,November 24,4:25PM ET,boxscore,L,,5-6,@,Green Bay Packers,10,38,11,241,197,44,3,22,325,156,169,,-19.42,-12.20,2.13
