Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
8,Sun,November 1,4:25PM ET,boxscore,W,,6-1,,San Francisco 49ers,37,27,27,350,249,101,,24,351,299,52,2,17.90,-14.29,8.73
9,Sun,November 8,1:00PM ET,boxscore,L,,6-2,@,Buffalo Bills,34,44,22,419,362,57,4,27,420,386,34,,9.12,-17.05,-4.66
10,Sun,November 15,4:25PM ET,boxscore,L,,6-3,@,Los Angeles Rams,16,23,20,333,220,113,3,24,389,283,106,1,-3.08,-11.84,6.89
11,Thu,November 19,8:20PM ET,boxscore,W,,7-3,,Arizona Cardinals,28,21,22,347,182,165,,24,314,257,57,,16.03,-8.96,0.39
12,Mon,November 30,8:15PM ET,boxscore,W,,8-3,@,Philadelphia Eagles,23,17,20,301,225,76,,18,250,180,70,1,0.57,6.08,1.79
13,Sun,December 6,4:05PM ET,boxscore,L,,8-4,,New York Giants,12,17,21,327,216,111,2,13,290,100,190,1,-10.03,3.56,2.18
14,Sun,December 13,4:05PM ET,boxscore,W,,9-4,,New York Jets,40,3,28,410,236,174,1,12,185,116,69,1,22.39,10.41,2.47
15,Sun,December 20,1:00PM ET,boxscore,W,,10-4,@,Washington Football Team,20,15,16,302,121,181,1,26,353,269,84,2,3.17,-1.41,4.40
16,Sun,December 27,4:25PM ET,boxscore,W,,11-4,,Los Angeles Rams,20,9,15,292,197,95,,20,334,216,118,1,1.46,11.28,-0.50
17,Sun,January 3,4:25PM ET,boxscore,W,,12-4,@,San Francisco 49ers,26,23,21,280,159,121,,17,328,242,86,1,5.26,-2.58,0.32
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 12,1:00PM ET,boxscore,W,,1-0,@,Indianapolis Colts,28,16,18,381,241,140,1,23,336,223,113,1,14.35,-3.07,-0.51
2,Sun,September 19,4:25PM ET,boxscore,L,OT,1-1,,Tennessee Titans,30,33,17,397,320,77,,33,532,320,212,1,13.29,-17.41,1.06
3,Sun,September 26,4:25PM ET,boxscore,L,,1-2,@,Minnesota Vikings,17,30,21,389,283,106,,28,453,313,140,,14.86,-20.96,-1.13
4,Sun,October 3,4:05PM ET,boxscore,W,,2-2,@,San Francisco 49ers,28,21,14,234,129,105,,23,457,314,143,2,2.20,-8.61,14.31
5,Thu,October 7,8:20PM ET,boxscore,L,,2-3,,Los Angeles Rams,17,26,22,354,262,92,2,24,476,358,118,1,6.71,-13.76,0.05
6,Sun,October 17,8:20PM ET,boxscore,L,OT,2-4,@,Pittsburgh Steelers,20,23,18,309,165,144,1,22,345,226,119,1,-3.89,1.52,-1.09
7,Mon,October 25,8:15PM ET,boxscore,L,,2-5,,New Orleans Saints,10,13,14,219,129,90,,21,304,210,94,1,-6.87,3.46,-5.19
8,Sun,October 31,4:05PM ET,boxscore,W,,3-5,,Jacksonville Jaguars,31,7,17,229,160,69,,20,309,227,82,1,7.46,6.73,7.41
10,Sun,November 14,4:25PM ET,boxscore,L,,3-6,@,Green Bay Packers,0,17,15,208,133,75,2,22,393,287,106,1,-11.44,-8.95,5.23
11,Sun,November 21,4:25PM ET,boxscore,L,,3-7,,Arizona Cardinals,13,23,16,266,180,86,,29,413,318,95,,-1.84,-17.70,8.60
12,Mon,November 29,8:15PM ET,boxscore,L,,3-8,@,Washington Football Team,15,17,10,267,233,34,1,27,371,219,152,1,-2.58,-6.29,2.42
13,Sun,December 5,4:00PM ET,boxscore,W,,4-8,,San Francisco 49ers,30,23,21,327,181,146,3,17,365,294,71,3,2.27,0.51,3.44
14,Sun,December 12,1:00PM ET,boxscore,W,,5-8,@,Houston Texans,33,13,20,453,260,193,,25,380,317,63,,21.71,2.60,-9.75
15,Tue,December 21,7:00PM ET,boxscore,L,,5-9,@,Los Angeles Rams,10,20,13,214,134,80,1,20,332,209,123,1,-8.13,-4.19,3.72
16,Sun,December 26,4:05PM ET,boxscore,L,,5-10,,Chicago Bears,24,25,18,331,161,170,,26,317,229,88,,8.31,-7.60,-3.95
17,Sun,January 2,4:25PM ET,boxscore,W,,6-10,,Detroit Lions,51,29,29,497,232,265,,20,357,262,95,3,32.32,-3.55,-2.68
18,Sun,January 9,4:25PM ET,boxscore,W,,7-10,@,Arizona Cardinals,38,30,19,431,229,202,2,20,305,187,118,1,12.83,-0.21,-1.02
,,,,,,,,,,,,,,,,,,,,,,,,
1,Mon,September 12,8:20PM ET,boxscore,W,,1-0,,Denver Broncos,17,16,19,253,177,76,1,20,433,330,103,2,4.10,-9.94,6.84
2,Sun,September 18,4:05PM ET,boxscore,L,,1-1,@,San Francisco 49ers,7,27,14,216,180,36,3,25,373,184,189,,-9.18,-16.39,7.67
3,Sun,September 25,4:25PM ET,boxscore,L,,1-2,,Atlanta Falcons,23,27,23,420,308,112,1,24,386,207,179,2,15.09,-20.84,-1.20
4,Sun,October 2,1:00PM ET,boxscore,W,,2-2,@,Detroit Lions,48,45,27,555,320,235,1,27,520,375,145,2,32.93,-22.12,-3.99
5,Sun,October 9,1:00PM ET,boxscore,L,,2-3,@,New Orleans Saints,32,39,15,396,245,151,1,26,438,203,235,2,4.57,-15.05,0.32
6,Sun,October 16,4:05PM ET,boxscore,W,,3-3,,Arizona Cardinals,19,9,19,296,160,136,1,15,315,171,144,2,-8.22,14.01,5.25
7,Sun,October 23,4:25PM ET,boxscore,W,,4-3,@,Los Angeles Chargers,37,23,24,404,191,213,2,21,329,276,53,2,12.13,4.60,-1.10
8,Sun,October 30,4:25PM ET,boxscore,W,,5-3,,New York Giants,27,13,19,277,190,87,1,14,225,147,78,2,-2.79,10.80,8.31
9,Sun,November 6,4:05PM ET,boxscore,W,,6-3,@,Arizona Cardinals,31,21,27,421,263,158,1,15,262,140,122,1,10.67,5.02,0.90
10,Sun,November 13,9:30AM ET,boxscore,L,,6-4,@,Tampa Bay Buccaneers,16,21,19,283,244,39,1,26,419,258,161,2,-0.15,-13.20,7.78
12,Sun,November 27,4:05PM ET,boxscore,L,OT,6-5,,Las Vegas Raiders,34,40,22,372,307,65,2,27,576,293,283,2,6.66,-16.24,6.76
13,Sun,December 4,4:05PM ET,boxscore,W,,7-5,@,Los Angeles Rams,27,23,25,438,348,90,2,20,319,148,171,2,12.57,-4.46,-3.11
14,Sun,December 11,4:25PM ET,boxscore,L,,7-6,,Carolina Panthers,24,30,16,287,241,46,2,24,328,105,223,,1.49,-9.49,-0.23
15,Thu,December 15,8:15PM ET,boxscore,L,,7-7,,San Francisco 49ers,13,21,16,277,207,70,1,15,381,211,170,,-11.24,-9.75,8.96
16,Sat,December 24,1:00PM ET,boxscore,L,,7-8,@,Kansas City Chiefs,10,24,19,333,200,133,1,14,297,220,77,,-11.64,-3.10,2.23
17,Sun,January 1,4:05PM ET,boxscore,W,,8-8,,New York Jets,23,6,20,346,148,198,,20,279,204,75,3,3.31,16.78,-4.05
18,Sun,January 8,4:25PM ET,boxscore,W,OT,9-8,,Los Angeles Rams,19,16,22,402,205,197,2,14,269,123,146,1,-3.11,3.80,2.32
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 10,4:25PM ET,boxscore,L,,0-1,,Los Angeles Rams,13,30,13,180,95,85,,27,426,334,92,,-1.77,-20.95,5.73
2,Sun,September 17,1:00PM ET,boxscore,W,OT,1-1,@,Detroit Lions,37,31,28,393,311,82,,25,418,316,102,3,18.00,-4.65,-7.35
3,Sun,September 24,4:05PM ET,boxscore,W,,2-1,,Carolina Panthers,37,27,27,425,279,146,1,23,378,334,44,,10.21,-6.08,4.29
4,Mon,October 2,8:15PM ET,boxscore,W,,3-1,@,New York Giants,24,3,13,281,160,121,,17,248,136,112,3,-7.86,29.37,0.33
6,Sun,October 15,1:00PM ET,boxscore,L,,3-2,@,Cincinnati Bengals,13,17,24,384,297,87,2,15,214,168,46,1,-3.89,1.37,-1.98
7,Sun,October 22,4:05PM ET,boxscore,W,,4-2,,Arizona Cardinals,20,10,18,318,203,115,3,15,249,122,127,,2.20,10.34,-3.57
8,Sun,October 29,4:05PM ET,boxscore,W,,5-2,,Cleveland Browns,24,20,17,362,248,114,2,23,385,230,155,3,6.04,0.00,2.50
9,Sun,November 5,1:00PM ET,boxscore,L,,5-3,@,Baltimore Ravens,3,37,6,151,123,28,2,29,515,217,298,2,-21.73,-17.08,5.23
10,Sun,November 12,4:25PM ET,boxscore,W,,6-3,,Washington Commanders,29,26,27,489,369,120,,16,356,288,68,1,15.28,-7.66,-2.61
11,Sun,November 19,4:25PM ET,boxscore,L,,6-4,@,Los Angeles Rams,16,17,16,291,223,68,1,20,267,185,82,1,0.28,-2.26,-0.20
12,Thu,November 23,8:20PM ET,boxscore,L,,6-5,,San Francisco 49ers,13,31,14,220,132,88,2,23,377,208,169,1,-10.62,-8.06,0.59
13,Thu,November 30,8:15PM ET,boxscore,L,,6-6,@,Dallas Cowboys,35,41,25,406,334,72,1,33,411,275,136,,20.82,-24.14,-3.78
14,Sun,December 10,4:05PM ET,boxscore,L,,6-7,@,San Francisco 49ers,16,28,17,324,254,70,2,19,527,354,173,2,-1.61,-19.70,3.47
15,Sun,December 18,8:15PM ET,boxscore,W,,7-7,,Philadelphia Eagles,20,17,16,297,197,100,,23,321,143,178,2,6.27,-5.20,-0.39
16,Sun,December 24,1:00PM ET,boxscore,W,,8-7,@,Tennessee Titans,20,17,21,273,215,58,,23,287,125,162,,13.04,-9.37,0.67
17,Sun,December 31,4:05PM ET,boxscore,L,,8-8,,Pittsburgh Steelers,23,30,17,369,281,88,1,25,468,266,202,,7.51,-20.36,0.67
18,Sun,January 7,4:25PM ET,boxscore,W,,9-8,@,Arizona Cardinals,21,20,18,327,189,138,,24,466,260,206,,10.16,-18.03,6.27
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 8,4:05PM ET,boxscore,W,,1-0,,Denver Broncos,26,20,19,304,158,146,2,13,231,132,99,3,-3.15,19.83,-11.19
2,Sun,September 15,1:00PM ET,boxscore,W,OT,2-0,@,New England Patriots,23,20,18,358,312,46,,19,310,125,185,,7.65,-3.42,-1.23
3,Sun,September 22,4:05PM ET,boxscore,W,,3-0,,Miami Dolphins,24,3,21,370,270,100,2,13,205,140,65,,0.77,20.39,-1.24
4,Mon,September 30,8:15PM ET,boxscore,L,,3-1,@,Detroit Lions,29,42,38,516,383,133,2,21,389,273,116,,15.58,-24.24,-1.69
5,Sun,October 6,4:25PM ET,boxscore,L,,3-2,,New York Giants,20,29,17,333,231,102,1,24,420,245,175,1,-5.39,1.17,-7.07
6,Thu,October 10,8:15PM ET,boxscore,L,,3-3,,San Francisco 49ers,24,36,22,358,306,52,3,21,483,255,228,,0.59,-19.50,7.06
7,Sun,October 20,1:00PM ET,boxscore,W,,4-3,@,Atlanta Falcons,34,14,20,339,236,103,,22,369,214,155,3,13.35,0.56,3.91
8,Sun,October 27,4:05PM ET,boxscore,L,,4-4,,Buffalo Bills,10,31,17,233,201,32,2,29,445,281,164,1,-8.68,-16.41,2.10
9,Sun,November 3,4:25PM ET,boxscore,L,OT,4-5,,Los Angeles Rams,20,26,20,424,317,107,3,22,366,298,68,1,-12.59,-0.01,5.33
11,Sun,November 17,4:05PM ET,boxscore,W,,5-5,@,San Francisco 49ers,20,17,19,289,195,94,1,21,277,146,131,1,3.33,-4.48,1.86
12,Sun,November 24,4:25PM ET,boxscore,W,,6-5,,Arizona Cardinals,16,6,17,285,220,65,1,15,298,249,49,1,0.58,11.53,-1.29
