Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
7,Sun,October 25,1:00PM ET,boxscore,W,,5-2,@,Cincinnati Bengals,37,34,23,398,316,82,1,31,468,387,81,2,25.11,-22.02,-1.35
8,Sun,November 1,1:00PM ET,boxscore,L,,5-3,,Las Vegas Raiders,6,16,14,223,122,101,1,24,309,100,209,,-0.65,-13.68,2.42
10,Sun,November 15,1:00PM ET,boxscore,W,,6-3,,Houston Texans,10,7,20,356,125,231,,16,243,153,90,,5.49,0.68,2.92
11,Sun,November 22,1:00PM ET,boxscore,W,,7-3,,Philadelphia Eagles,22,17,17,324,187,137,1,19,315,209,106,3,-4.43,10.55,1.99
12,Sun,November 29,1:00PM ET,boxscore,W,,8-3,@,Jacksonville Jaguars,27,25,25,459,252,207,1,22,375,235,140,,15.17,-11.93,-2.43
13,Sun,December 6,1:00PM ET,boxscore,W,,9-3,@,Tennessee Titans,41,35,26,458,340,118,1,25,431,369,62,3,16.85,-9.59,1.78
14,Mon,December 14,8:15PM ET,boxscore,L,,9-4,,Baltimore Ravens,42,47,33,493,355,138,1,25,385,154,231,,23.63,-24.92,-5.17
15,Sun,December 20,8:20PM ET,boxscore,W,,10-4,@,New York Giants,20,6,24,392,286,106,,14,288,214,74,,16.29,-0.85,-1.67
16,Sun,December 27,1:00PM ET,boxscore,L,,10-5,@,New York Jets,16,23,23,299,254,45,2,18,333,202,131,,-5.93,-0.77,4.45
17,Sun,January 3,1:00PM ET,boxscore,W,,11-5,,Pittsburgh Steelers,24,22,21,358,166,192,,18,394,309,85,1,12.89,-7.05,0.33
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 12,4:25PM ET,boxscore,L,,0-1,@,Kansas City Chiefs,29,33,24,457,304,153,2,21,397,324,73,,20.54,-19.34,0.35
2,Sun,September 19,1:00PM ET,boxscore,W,,1-1,,Houston Texans,31,21,22,355,199,156,2,17,302,220,82,2,8.22,-9.61,8.62
3,Sun,September 26,1:00PM ET,boxscore,W,,2-1,,Chicago Bears,26,6,26,418,203,215,,6,47,1,46,,6.11,19.73,-2.28
4,Sun,October 3,1:00PM ET,boxscore,W,,3-1,@,Minnesota Vikings,14,7,20,327,143,184,,16,255,190,65,1,-4.58,7.71,2.13
5,Sun,October 10,4:05PM ET,boxscore,L,,3-2,@,Los Angeles Chargers,42,47,25,531,301,230,,27,493,381,112,1,22.52,-31.81,3.45
6,Sun,October 17,4:05PM ET,boxscore,L,,3-3,,Arizona Cardinals,14,37,16,290,217,73,3,24,352,208,144,,-10.01,-16.91,1.93
7,Thu,October 21,8:20PM ET,boxscore,W,,4-3,,Denver Broncos,17,14,23,376,194,182,,15,223,182,41,1,13.24,-4.39,-1.90
8,Sun,October 31,1:00PM ET,boxscore,L,,4-4,,Pittsburgh Steelers,10,15,19,306,210,96,1,21,370,255,115,,-2.67,-1.77,0.11
9,Sun,November 7,1:00PM ET,boxscore,W,,5-4,@,Cincinnati Bengals,41,16,14,361,208,153,,25,348,263,85,3,14.44,15.34,-4.50
10,Sun,November 14,1:00PM ET,boxscore,L,,5-5,@,New England Patriots,7,45,17,217,118,99,1,30,452,268,184,,-9.48,-31.28,2.69
11,Sun,November 21,1:00PM ET,boxscore,W,,6-5,,Detroit Lions,13,10,22,349,165,184,2,12,245,77,168,2,4.65,4.39,-6.08
12,Sun,November 28,8:20PM ET,boxscore,L,,6-6,@,Baltimore Ravens,10,16,14,262,222,40,2,22,303,155,148,4,-11.16,7.17,-4.29
14,Sun,December 12,1:00PM ET,boxscore,W,,7-6,,Baltimore Ravens,24,22,20,290,190,100,1,21,389,271,118,2,2.40,8.51,-5.68
15,Mon,December 20,5:00PM ET,boxscore,L,,7-7,,Las Vegas Raiders,14,16,13,236,147,89,,20,328,230,98,2,1.13,-1.60,-0.20
16,Sat,December 25,4:30PM ET,boxscore,L,,7-8,@,Green Bay Packers,22,24,28,408,189,219,4,19,311,202,109,,9.40,-10.56,-3.89
17,Mon,January 3,8:15PM ET,boxscore,L,,7-9,@,Pittsburgh Steelers,14,26,15,232,139,93,2,20,299,109,190,1,-12.27,-0.38,-4.51
18,Sun,January 9,1:00PM ET,boxscore,W,,8-9,,Cincinnati Bengals,21,16,24,376,171,205,2,11,182,103,79,,6.01,10.26,-4.58
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 11,1:00PM ET,boxscore,W,,1-0,@,Carolina Panthers,26,24,23,355,138,217,,15,261,207,54,1,6.82,-5.38,1.66
2,Sun,September 18,1:00PM ET,boxscore,L,,1-1,,New York Jets,30,31,29,405,221,184,1,20,402,309,93,1,17.92,-15.19,-5.38
3,Thu,September 22,8:15PM ET,boxscore,W,,2-1,,Pittsburgh Steelers,29,17,22,376,205,171,,20,308,204,104,1,10.79,1.19,0.62
4,Sun,October 2,1:00PM ET,boxscore,L,,2-2,@,Atlanta Falcons,20,23,22,403,226,177,2,19,333,131,202,1,5.25,-5.92,-1.44
5,Sun,October 9,1:00PM ET,boxscore,L,,2-3,,Los Angeles Chargers,28,30,27,443,230,213,1,26,465,227,238,,16.53,-16.01,-4.92
6,Sun,October 16,1:00PM ET,boxscore,L,,2-4,,New England Patriots,15,38,16,328,258,70,4,20,399,301,98,1,-12.35,-11.30,0.09
7,Sun,October 23,1:00PM ET,boxscore,L,,2-5,@,Baltimore Ravens,20,23,18,336,223,113,2,17,254,94,160,1,6.61,-1.58,-7.18
8,Mon,October 31,8:15PM ET,boxscore,W,,3-5,,Cincinnati Bengals,32,13,24,440,268,172,2,15,229,193,36,2,15.92,3.49,2.71
10,Sun,November 13,1:00PM ET,boxscore,L,,3-6,@,Miami Dolphins,17,39,20,297,185,112,1,29,491,296,195,,-1.04,-28.50,4.93
11,Sun,November 20,1:00PM ET,boxscore,L,,3-7,@,Buffalo Bills,23,31,27,396,316,80,1,22,357,186,171,,10.86,-6.00,-13.72
12,Sun,November 27,1:00PM ET,boxscore,W,OT,4-7,,Tampa Bay Buccaneers,23,17,22,367,178,189,1,16,325,229,96,,2.41,1.81,1.78
13,Sun,December 4,1:00PM ET,boxscore,W,,5-7,@,Houston Texans,27,14,14,304,130,174,2,16,283,201,82,4,-13.96,23.84,5.52
14,Sun,December 11,1:00PM ET,boxscore,L,,5-8,@,Cincinnati Bengals,10,23,18,344,273,71,1,23,363,227,136,1,-8.32,-7.01,3.29
15,Sat,December 17,4:30PM ET,boxscore,W,,6-8,,Baltimore Ravens,13,3,19,283,140,143,,17,324,126,198,2,2.64,7.94,0.26
16,Sat,December 24,1:00PM ET,boxscore,L,,6-9,,New Orleans Saints,10,17,15,249,125,124,1,14,244,92,152,1,-12.78,4.01,2.04
17,Sun,January 1,1:00PM ET,boxscore,W,,7-9,@,Washington Commanders,24,10,16,301,155,146,,17,260,124,136,3,7.26,7.50,-0.54
18,Sun,January 8,1:00PM ET,boxscore,L,,7-10,@,Pittsburgh Steelers,14,28,18,307,173,134,2,23,333,189,144,1,3.47,-10.81,-2.18
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 10,1:00PM ET,boxscore,W,,1-0,,Cincinnati Bengals,24,3,21,350,144,206,2,6,142,67,75,,-6.77,23.57,3.92
2,Mon,September 18,8:15PM ET,boxscore,L,,1-1,@,Pittsburgh Steelers,22,26,20,408,210,198,4,9,255,200,55,2,-19.51,16.63,-2.81
3,Sun,September 24,1:00PM ET,boxscore,W,,2-1,,Tennessee Titans,27,3,23,341,263,78,1,6,94,68,26,,13.99,13.12,-4.04
4,Sun,October 1,1:00PM ET,boxscore,L,,2-2,,Baltimore Ravens,3,28,13,166,73,93,3,16,296,165,131,1,-25.42,-2.36,2.71
6,Sun,October 15,1:00PM ET,boxscore,W,,3-2,,San Francisco 49ers,19,17,18,334,174,160,2,15,215,107,108,1,-11.32,6.05,7.34
7,Sun,October 22,1:00PM ET,boxscore,W,,4-2,@,Indianapolis Colts,39,38,18,316,166,150,2,20,456,288,168,4,-5.30,-1.77,10.23
8,Sun,October 29,4:05PM ET,boxscore,L,,4-3,@,Seattle Seahawks,20,24,23,385,230,155,3,17,362,248,114,2,0.00,-6.04,-2.50
9,Sun,November 5,1:00PM ET,boxscore,W,,5-3,,Arizona Cardinals,27,0,17,326,213,113,,7,58,17,41,3,0.59,35.86,-7.62
10,Sun,November 12,1:00PM ET,boxscore,W,,6-3,@,Baltimore Ravens,33,31,24,373,195,178,2,18,306,200,106,2,6.32,-2.49,-1.10
11,Sun,November 19,1:00PM ET,boxscore,W,,7-3,,Pittsburgh Steelers,13,10,20,259,163,96,1,12,249,77,172,,-6.18,6.04,1.74
12,Sun,November 26,4:05PM ET,boxscore,L,,7-4,@,Denver Broncos,12,29,19,269,162,107,3,17,294,125,169,1,-14.00,-3.83,0.36
13,Sun,December 3,4:25PM ET,boxscore,L,,7-5,@,Los Angeles Rams,19,36,20,327,240,87,1,20,399,279,120,,-1.73,-16.49,1.43
14,Sun,December 10,1:00PM ET,boxscore,W,,8-5,,Jacksonville Jaguars,31,27,16,389,307,82,3,20,293,235,58,4,-8.29,8.51,5.12
15,Sun,December 17,1:00PM ET,boxscore,W,,9-5,,Chicago Bears,20,17,14,377,348,29,3,12,236,148,88,3,-20.66,20.51,3.15
16,Sun,December 24,1:00PM ET,boxscore,W,,10-5,@,Houston Texans,36,22,26,418,364,54,2,20,250,178,72,2,12.38,9.69,-8.56
17,Thu,December 28,8:15PM ET,boxscore,W,,11-5,,New York Jets,37,20,20,428,301,127,3,17,360,253,107,2,3.15,7.73,3.99
18,Sun,January 7,1:00PM ET,boxscore,L,,11-6,@,Cincinnati Bengals,14,31,13,244,140,104,2,22,328,145,183,1,-8.30,-8.81,1.32
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 8,4:25PM ET,boxscore,L,,0-1,,Dallas Cowboys,17,33,15,230,137,93,2,15,265,163,102,,-19.86,5.45,-3.02
