Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
8,Sun,November 1,1:00PM ET,boxscore,L,,5-3,@,Miami Dolphins,17,28,31,471,340,131,4,8,145,90,55,2,-18.41,21.63,-12.41
10,Sun,November 15,4:25PM ET,boxscore,W,,6-3,,Seattle Seahawks,23,16,24,389,283,106,1,20,333,220,113,3,11.84,3.08,-6.89
11,Mon,November 23,8:15PM ET,boxscore,W,,7-3,@,Tampa Bay Buccaneers,27,24,22,413,376,37,2,20,251,209,42,2,5.08,1.67,-2.02
12,Sun,November 29,4:05PM ET,boxscore,L,,7-4,,San Francisco 49ers,20,23,14,308,182,126,4,18,345,233,112,3,-19.57,14.81,2.68
13,Sun,December 6,4:05PM ET,boxscore,W,,8-4,@,Arizona Cardinals,38,28,30,463,344,119,1,18,232,140,92,2,18.92,0.60,-6.43
14,Thu,December 10,8:20PM ET,boxscore,W,,9-4,,New England Patriots,24,3,17,318,132,186,1,10,220,113,107,1,1.19,29.77,-8.58
15,Sun,December 20,4:05PM ET,boxscore,L,,9-5,,New York Jets,20,23,16,303,189,114,1,17,289,196,93,,-2.53,-0.42,-0.32
16,Sun,December 27,4:25PM ET,boxscore,L,,9-6,@,Seattle Seahawks,9,20,20,334,216,118,1,15,292,197,95,,-11.28,-1.46,0.50
17,Sun,January 3,4:25PM ET,boxscore,W,,10-6,,Arizona Cardinals,18,7,21,333,223,110,2,15,214,166,48,1,-6.77,13.48,2.44
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 12,8:20PM ET,boxscore,W,,1-0,,Chicago Bears,34,14,18,386,312,74,,24,322,188,134,2,21.58,0.85,-0.52
2,Sun,September 19,1:00PM ET,boxscore,W,,2-0,@,Indianapolis Colts,27,24,21,371,270,101,2,22,354,245,109,2,7.11,-1.29,-3.09
3,Sun,September 26,4:25PM ET,boxscore,W,,3-0,,Tampa Bay Buccaneers,34,24,22,407,331,76,,27,446,411,35,,20.56,-15.15,3.43
4,Sun,October 3,4:05PM ET,boxscore,L,,3-1,,Arizona Cardinals,20,37,24,401,280,121,2,27,465,249,216,,8.94,-21.72,-2.64
5,Thu,October 7,8:20PM ET,boxscore,W,,4-1,@,Seattle Seahawks,26,17,24,476,358,118,1,22,354,262,92,2,13.76,-6.71,-0.05
6,Sun,October 17,1:00PM ET,boxscore,W,,5-1,@,New York Giants,38,11,22,365,234,131,2,21,261,201,60,4,7.63,19.06,-0.96
7,Sun,October 24,4:05PM ET,boxscore,W,,6-1,,Detroit Lions,28,19,22,374,327,47,,19,415,278,137,2,20.08,-3.32,-6.99
8,Sun,October 31,1:00PM ET,boxscore,W,,7-1,@,Houston Texans,38,22,26,467,302,165,,18,323,279,44,1,22.20,-1.75,-8.01
9,Sun,November 7,8:20PM ET,boxscore,L,,7-2,,Tennessee Titans,16,28,22,347,253,94,2,16,194,125,69,1,-11.78,-1.15,-0.53
10,Mon,November 15,8:15PM ET,boxscore,L,,7-3,@,San Francisco 49ers,10,31,16,278,226,52,2,20,335,179,156,,-7.18,-11.33,-0.70
12,Sun,November 28,4:25PM ET,boxscore,L,,7-4,@,Green Bay Packers,28,36,15,353,285,68,3,21,399,307,92,1,-5.92,-4.66,0.69
13,Sun,December 5,4:25PM ET,boxscore,W,,8-4,,Jacksonville Jaguars,37,7,24,418,290,128,,14,197,136,61,2,21.19,12.55,-3.25
14,Mon,December 13,8:15PM ET,boxscore,W,,9-4,@,Arizona Cardinals,30,23,18,356,267,89,,22,447,344,103,2,13.49,-0.66,-3.55
15,Tue,December 21,7:00PM ET,boxscore,W,,10-4,,Seattle Seahawks,20,10,20,332,209,123,1,13,214,134,80,1,4.19,8.13,-3.72
16,Sun,December 26,1:00PM ET,boxscore,W,,11-4,@,Minnesota Vikings,30,23,22,356,197,159,3,19,361,295,66,1,-0.84,1.81,7.80
17,Sun,January 2,4:25PM ET,boxscore,W,,12-4,@,Baltimore Ravens,20,19,20,373,300,73,3,19,327,162,165,2,2.98,-0.40,-2.65
18,Sun,January 9,4:25PM ET,boxscore,L,OT,12-5,,San Francisco 49ers,24,27,19,265,201,64,2,23,449,314,135,2,8.42,-15.33,3.91
,,,,,,,,,,,,,,,,,,,,,,,,
1,Thu,September 8,8:20PM ET,boxscore,L,,0-1,,Buffalo Bills,10,31,19,243,191,52,3,23,413,292,121,4,-10.29,-13.89,3.96
2,Sun,September 18,4:05PM ET,boxscore,W,,1-1,,Atlanta Falcons,31,27,24,337,272,65,3,17,261,171,90,3,8.46,3.49,-8.11
3,Sun,September 25,4:25PM ET,boxscore,W,,2-1,@,Arizona Cardinals,20,12,15,339,239,100,1,23,365,295,70,,5.31,-0.80,5.72
4,Mon,October 3,8:15PM ET,boxscore,L,,2-2,@,San Francisco 49ers,9,24,21,257,200,57,2,13,327,239,88,,-11.56,-10.05,7.93
5,Sun,October 9,4:25PM ET,boxscore,L,,2-3,,Dallas Cowboys,10,22,14,323,285,38,3,10,239,76,163,,-11.11,8.44,-6.98
6,Sun,October 16,4:05PM ET,boxscore,W,,3-3,,Carolina Panthers,24,10,22,360,249,111,1,8,203,110,93,1,3.51,11.74,-2.53
8,Sun,October 30,4:25PM ET,boxscore,L,,3-4,,San Francisco 49ers,14,31,16,223,167,56,,22,368,257,111,,3.37,-23.18,2.48
9,Sun,November 6,4:25PM ET,boxscore,L,,3-5,@,Tampa Bay Buccaneers,13,16,9,206,138,68,,18,323,272,51,,-10.99,8.87,-1.37
10,Sun,November 13,4:25PM ET,boxscore,L,,3-6,,Arizona Cardinals,17,27,18,256,190,66,2,18,298,220,78,,-5.36,-5.83,0.48
11,Sun,November 20,1:00PM ET,boxscore,L,,3-7,@,New Orleans Saints,20,27,17,336,188,148,,19,323,235,88,,3.06,-8.99,-2.98
12,Sun,November 27,4:25PM ET,boxscore,L,,3-8,@,Kansas City Chiefs,10,26,13,198,82,116,2,29,437,320,117,2,-9.01,-13.96,8.76
13,Sun,December 4,4:05PM ET,boxscore,L,,3-9,,Seattle Seahawks,23,27,20,319,148,171,2,25,438,348,90,2,4.46,-12.57,3.11
14,Thu,December 8,8:15PM ET,boxscore,W,,4-9,,Las Vegas Raiders,17,16,20,282,211,71,1,17,302,137,165,2,5.59,-0.55,-4.09
15,Mon,December 19,8:15PM ET,boxscore,L,,4-10,@,Green Bay Packers,12,24,13,156,84,72,1,27,345,207,138,2,-1.29,-13.03,-0.81
16,Sun,December 25,4:30PM ET,boxscore,W,,5-10,,Denver Broncos,51,14,26,388,230,158,,18,323,219,104,4,22.61,13.18,1.14
17,Sun,January 1,4:25PM ET,boxscore,L,,5-11,@,Los Angeles Chargers,10,31,12,277,111,166,1,22,431,239,192,,-0.47,-21.57,0.25
18,Sun,January 8,4:25PM ET,boxscore,L,OT,5-12,@,Seattle Seahawks,16,19,14,269,123,146,1,22,402,205,197,2,-3.80,3.11,-2.32
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 10,4:25PM ET,boxscore,W,,1-0,@,Seattle Seahawks,30,13,27,426,334,92,,13,180,95,85,,20.95,1.77,-5.73
2,Sun,September 17,4:05PM ET,boxscore,L,,1-1,,San Francisco 49ers,23,30,28,386,297,89,2,21,365,206,159,,3.31,-12.36,2.05
3,Mon,September 25,8:15PM ET,boxscore,L,,1-2,@,Cincinnati Bengals,16,19,15,292,221,71,2,19,309,242,67,1,-7.34,8.00,-3.79
4,Sun,October 1,1:00PM ET,boxscore,W,OT,2-2,@,Indianapolis Colts,29,23,27,467,303,164,1,19,329,196,133,1,15.52,-5.51,-0.74
5,Sun,October 8,4:05PM ET,boxscore,L,,2-3,,Philadelphia Eagles,14,23,17,249,195,54,,28,454,295,159,1,6.25,-16.56,2.84
6,Sun,October 15,4:25PM ET,boxscore,W,,3-3,,Arizona Cardinals,26,9,17,382,203,179,1,20,345,215,130,2,10.25,12.85,-7.36
7,Sun,October 22,4:05PM ET,boxscore,L,,3-4,,Pittsburgh Steelers,17,24,19,354,219,135,1,17,300,214,86,,3.06,-4.14,-6.47
8,Sun,October 29,1:00PM ET,boxscore,L,,3-5,@,Dallas Cowboys,20,43,15,280,188,92,1,24,387,285,102,1,-8.68,-15.46,-1.87
9,Sun,November 5,1:00PM ET,boxscore,L,,3-6,@,Green Bay Packers,3,20,10,187,119,68,2,21,391,207,184,2,-20.49,-2.46,1.58
11,Sun,November 19,4:25PM ET,boxscore,W,,4-6,,Seattle Seahawks,17,16,20,267,185,82,1,16,291,223,68,1,2.26,-0.28,0.20
12,Sun,November 26,4:05PM ET,boxscore,W,,5-6,@,Arizona Cardinals,37,14,25,457,229,228,1,19,292,219,73,,22.85,1.35,-4.78
13,Sun,December 3,4:25PM ET,boxscore,W,,6-6,,Cleveland Browns,36,19,20,399,279,120,,20,327,240,87,1,16.49,1.73,-1.43
14,Sun,December 10,1:00PM ET,boxscore,L,OT,6-7,@,Baltimore Ravens,31,37,24,410,282,128,,23,449,310,139,1,7.96,-13.48,-0.55
15,Sun,December 17,4:05PM ET,boxscore,W,,7-7,,Washington Commanders,28,20,23,445,249,196,2,14,297,218,79,1,8.81,2.14,-3.33
16,Thu,December 21,8:15PM ET,boxscore,W,,8-7,,New Orleans Saints,30,22,23,458,325,133,,18,339,304,35,1,18.19,-1.69,-4.89
17,Sun,December 31,1:00PM ET,boxscore,W,,9-7,@,New York Giants,26,25,22,391,286,105,3,17,389,284,105,1,2.70,4.35,-4.87
18,Sun,January 7,4:25PM ET,boxscore,W,,10-7,@,San Francisco 49ers,21,20,19,258,149,109,1,20,300,175,125,1,11.30,-9.48,2.42
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 8,8:20PM ET,boxscore,L,OT,0-1,@,Detroit Lions,20,26,26,387,304,83,1,21,363,200,163,1,8.78,-9.52,-3.90
2,Sun,September 15,4:05PM ET,boxscore,L,,0-2,@,Arizona Cardinals,10,41,14,245,192,53,1,24,489,258,231,1,-8.89,-26.58,4.42
3,Sun,September 22,4:25PM ET,boxscore,W,,1-2,,San Francisco 49ers,27,24,19,296,198,98,,25,425,288,137,1,15.13,-19.10,3.14
4,Sun,September 29,1:00PM ET,boxscore,L,,1-3,@,Chicago Bears,18,24,21,322,203,119,2,17,264,133,131,,-0.67,-5.29,-3.65
5,Sun,October 6,4:25PM ET,boxscore,L,,1-4,,Green Bay Packers,19,24,24,370,236,134,2,19,328,202,126,1,-0.39,-2.84,-2.74
7,Sun,October 20,4:05PM ET,boxscore,W,,2-4,,Las Vegas Raiders,20,15,15,259,144,115,1,20,317,195,122,4,-7.94,19.97,-5.08
8,Thu,October 24,8:15PM ET,boxscore,W,,3-4,,Minnesota Vikings,30,20,26,386,279,107,1,17,276,212,64,,18.78,-6.94,0.25
9,Sun,November 3,4:25PM ET,boxscore,W,OT,4-4,@,Seattle Seahawks,26,20,22,366,298,68,1,20,424,317,107,3,0.01,12.59,-5.33
10,Mon,November 11,8:15PM ET,boxscore,L,,4-5,,Miami Dolphins,15,23,20,327,257,70,2,15,238,171,67,2,-8.90,2.50,-3.64
11,Sun,November 17,1:00PM ET,boxscore,W,,5-5,@,New England Patriots,28,22,19,402,295,107,,26,382,257,125,2,19.37,-10.52,-2.87
12,Sun,November 24,8:20PM ET,boxscore,L,,5-6,,Philadelphia Eagles,20,37,23,290,198,92,1,24,481,167,314,,5.78,-23.71,0.13
