Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
7,Thu,October 22,8:20PM ET,boxscore,L,,1-6,@,Philadelphia Eagles,21,22,17,325,165,160,3,27,442,346,96,1,-1.65,-2.80,1.27
8,Mon,November 2,8:15PM ET,boxscore,L,,1-7,,Tampa Bay Buccaneers,23,25,24,357,256,101,2,23,344,263,81,1,3.57,-5.01,-2.61
9,Sun,November 8,1:00PM ET,boxscore,W,,2-7,@,Washington Football Team,23,20,22,350,184,166,,19,402,365,37,5,1.55,-2.73,4.12
10,Sun,November 15,1:00PM ET,boxscore,W,,3-7,,Philadelphia Eagles,27,17,22,382,231,151,,22,346,190,156,,14.42,-2.70,4.88
12,Sun,November 29,1:00PM ET,boxscore,W,,4-7,@,Cincinnati Bengals,19,17,19,386,244,142,1,11,155,115,40,3,-2.23,18.51,-12.92
13,Sun,December 6,4:05PM ET,boxscore,W,,5-7,@,Seattle Seahawks,17,12,13,290,100,190,1,21,327,216,111,2,-3.56,10.03,-2.18
14,Sun,December 13,1:00PM ET,boxscore,L,,5-8,,Arizona Cardinals,7,26,10,159,81,78,3,22,390,231,159,,-18.89,-1.35,-1.81
15,Sun,December 20,8:20PM ET,boxscore,L,,5-9,,Cleveland Browns,6,20,14,288,214,74,,24,392,286,106,,0.85,-16.29,1.67
16,Sun,December 27,1:00PM ET,boxscore,L,,5-10,@,Baltimore Ravens,13,27,24,269,215,54,,25,432,183,249,1,-3.69,-17.45,5.16
17,Sun,January 3,1:00PM ET,boxscore,W,,6-10,,Dallas Cowboys,23,19,22,336,211,125,2,26,307,199,108,1,4.34,3.56,-4.88
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 12,4:25PM ET,boxscore,L,,0-1,,Denver Broncos,13,27,19,314,254,60,1,24,420,255,165,1,3.89,-20.31,3.35
2,Thu,September 16,8:20PM ET,boxscore,L,,0-2,@,Washington Football Team,29,30,21,391,228,163,,25,407,320,87,1,10.45,-12.19,0.60
3,Sun,September 26,1:00PM ET,boxscore,L,,0-3,,Atlanta Falcons,14,17,21,346,246,100,1,18,296,227,69,1,2.33,-2.10,-3.38
4,Sun,October 3,1:00PM ET,boxscore,W,OT,1-3,@,New Orleans Saints,27,21,21,485,402,83,1,21,405,235,170,1,15.58,-9.00,-1.58
5,Sun,October 10,4:25PM ET,boxscore,L,,1-4,@,Dallas Cowboys,20,44,20,367,294,73,2,26,515,314,201,2,-2.65,-20.79,-2.08
6,Sun,October 17,1:00PM ET,boxscore,L,,1-5,,Los Angeles Rams,11,38,21,261,201,60,4,22,365,234,131,2,-19.06,-7.63,0.96
7,Sun,October 24,1:00PM ET,boxscore,W,,2-5,,Carolina Panthers,25,3,21,302,199,103,,11,173,117,56,1,-3.21,22.46,2.91
8,Mon,November 1,8:15PM ET,boxscore,L,,2-6,@,Kansas City Chiefs,17,20,18,300,228,72,1,29,368,261,107,2,-2.30,-2.01,-2.73
9,Sun,November 7,1:00PM ET,boxscore,W,,3-6,,Las Vegas Raiders,23,16,16,247,98,149,1,24,403,286,117,3,0.51,1.72,5.84
11,Mon,November 22,8:15PM ET,boxscore,L,,3-7,@,Tampa Bay Buccaneers,10,30,15,215,149,66,3,28,402,308,94,1,-16.38,-10.10,4.13
12,Sun,November 28,1:00PM ET,boxscore,W,,4-7,,Philadelphia Eagles,13,7,17,264,194,70,,19,332,124,208,4,-0.39,9.73,-3.28
13,Sun,December 5,1:00PM ET,boxscore,L,,4-8,@,Miami Dolphins,9,20,16,250,159,91,1,19,297,229,68,,-6.39,-1.60,-3.32
14,Sun,December 12,4:05PM ET,boxscore,L,,4-9,@,Los Angeles Chargers,21,37,20,316,181,135,2,26,423,271,152,,-0.24,-18.32,3.58
15,Sun,December 19,1:00PM ET,boxscore,L,,4-10,,Dallas Cowboys,6,21,15,302,178,124,4,23,328,203,125,1,-14.75,-5.96,7.36
16,Sun,December 26,1:00PM ET,boxscore,L,,4-11,@,Philadelphia Eagles,10,34,15,192,108,84,2,17,324,194,130,,-17.66,-4.97,0.73
17,Sun,January 2,1:00PM ET,boxscore,L,,4-12,@,Chicago Bears,3,29,13,155,-6,161,4,17,249,162,87,2,-28.88,4.47,-1.13
18,Sun,January 9,1:00PM ET,boxscore,L,,4-13,,Washington Football Team,7,22,10,177,83,94,3,16,325,99,226,,-20.98,-0.23,7.21
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 11,4:25PM ET,boxscore,W,,1-0,@,Tennessee Titans,21,20,19,394,156,238,2,19,359,266,93,1,3.72,-5.97,2.44
2,Sun,September 18,1:00PM ET,boxscore,W,,2-0,,Carolina Panthers,19,16,18,265,162,103,,18,275,129,146,2,-6.20,2.09,6.13
3,Mon,September 26,8:15PM ET,boxscore,L,,2-1,,Dallas Cowboys,16,23,22,336,169,167,1,23,391,215,176,,-0.51,-10.78,0.01
4,Sun,October 2,1:00PM ET,boxscore,W,,3-1,,Chicago Bears,20,12,21,333,71,262,2,16,304,155,149,3,9.33,6.69,-7.79
5,Sun,October 9,9:30AM ET,boxscore,W,,4-1,@,Green Bay Packers,27,22,24,338,213,125,,22,301,207,94,,16.07,-5.67,-4.63
6,Sun,October 16,1:00PM ET,boxscore,W,,5-1,,Baltimore Ravens,24,20,18,238,155,83,1,23,406,195,211,2,4.93,-6.00,8.06
7,Sun,October 23,1:00PM ET,boxscore,W,,6-1,@,Jacksonville Jaguars,23,17,27,436,200,236,,27,452,310,142,1,17.00,-14.14,-2.50
8,Sun,October 30,4:25PM ET,boxscore,L,,6-2,@,Seattle Seahawks,13,27,14,225,147,78,2,19,277,190,87,1,-10.80,2.79,-8.31
10,Sun,November 13,1:00PM ET,boxscore,W,,7-2,,Houston Texans,24,16,19,367,176,191,,22,387,286,101,2,10.29,-0.40,-0.41
11,Sun,November 20,1:00PM ET,boxscore,L,,7-3,,Detroit Lions,18,31,25,413,324,89,3,23,325,165,160,,0.64,-9.36,-7.69
12,Thu,November 24,4:30PM ET,boxscore,L,,7-4,@,Dallas Cowboys,20,28,21,300,210,90,,26,430,261,169,2,0.13,-16.03,6.25
13,Sun,December 4,1:00PM ET,boxscore,T,OT,7-4-1,,Washington Commanders,20,20,20,316,182,134,1,25,411,246,165,1,-2.71,-2.87,5.65
