Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
8,Sun,November 1,1:00PM ET,boxscore,L,,0-8,@,Kansas City Chiefs,9,35,13,221,128,93,1,25,496,446,50,,-8.29,-21.48,6.95
9,Mon,November 9,8:15PM ET,boxscore,L,,0-9,,New England Patriots,27,30,18,322,257,65,1,30,433,274,159,,18.71,-18.70,-2.16
11,Sun,November 22,4:05PM ET,boxscore,L,,0-10,@,Los Angeles Chargers,28,34,20,292,196,96,1,28,376,347,29,1,7.52,-16.66,3.42
12,Sun,November 29,1:00PM ET,boxscore,L,,0-11,,Miami Dolphins,3,20,10,260,173,87,2,22,345,241,104,2,-15.02,-1.90,-3.01
13,Sun,December 6,1:00PM ET,boxscore,L,,0-12,,Las Vegas Raiders,28,31,24,376,170,206,3,24,440,368,72,2,7.59,-9.86,0.37
14,Sun,December 13,4:05PM ET,boxscore,L,,0-13,@,Seattle Seahawks,3,40,12,185,116,69,1,28,410,236,174,1,-10.41,-22.39,-2.47
15,Sun,December 20,4:05PM ET,boxscore,W,,1-13,@,Los Angeles Rams,23,20,17,289,196,93,,16,303,189,114,1,0.42,2.53,0.32
16,Sun,December 27,1:00PM ET,boxscore,W,,2-13,,Cleveland Browns,23,16,18,333,202,131,,23,299,254,45,2,0.77,5.93,-4.45
17,Sun,January 3,1:00PM ET,boxscore,L,,2-14,@,New England Patriots,14,28,21,350,239,111,2,23,404,238,166,,3.92,-18.13,0.05
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 12,1:00PM ET,boxscore,L,,0-1,@,Carolina Panthers,14,19,16,252,207,45,1,18,381,270,111,1,-10.00,-1.31,3.49
2,Sun,September 19,1:00PM ET,boxscore,L,,0-2,,New England Patriots,6,25,18,336,184,152,4,17,260,159,101,,-12.66,-0.24,-3.52
3,Sun,September 26,4:05PM ET,boxscore,L,,0-3,@,Denver Broncos,0,26,11,162,119,43,2,23,343,223,120,1,-27.58,-4.68,1.98
4,Sun,October 3,1:00PM ET,boxscore,W,OT,1-3,,Tennessee Titans,27,24,16,355,289,66,1,30,430,253,177,,8.42,-2.80,-0.71
5,Sun,October 10,9:30AM ET,boxscore,L,,1-4,@,Atlanta Falcons,20,27,17,230,166,64,1,28,450,342,108,2,3.20,-17.36,4.18
7,Sun,October 24,1:00PM ET,boxscore,L,,1-5,@,New England Patriots,13,54,18,299,237,62,3,32,551,403,148,,-5.92,-37.61,-0.06
8,Sun,October 31,1:00PM ET,boxscore,W,,2-5,,Cincinnati Bengals,34,31,32,511,414,97,3,18,318,277,41,1,8.01,-3.26,-4.33
9,Thu,November 4,8:20PM ET,boxscore,L,,2-6,@,Indianapolis Colts,30,45,30,486,398,88,2,28,532,272,260,,17.45,-32.44,-0.23
10,Sun,November 14,1:00PM ET,boxscore,L,,2-7,,Buffalo Bills,17,45,22,366,296,70,5,26,489,350,139,2,-5.27,-22.44,0.62
11,Sun,November 21,1:00PM ET,boxscore,L,,2-8,,Miami Dolphins,17,24,18,380,278,102,1,20,388,273,115,1,5.03,-13.14,-0.94
12,Sun,November 28,1:00PM ET,boxscore,W,,3-8,@,Houston Texans,21,14,18,266,109,157,1,13,202,106,96,1,-2.68,9.28,-1.61
13,Sun,December 5,1:00PM ET,boxscore,L,,3-9,,Philadelphia Eagles,18,33,21,281,211,70,1,26,418,233,185,,6.13,-22.38,1.78
14,Sun,December 12,1:00PM ET,boxscore,L,,3-10,,New Orleans Saints,9,30,13,256,178,78,,21,344,141,203,,-10.95,-8.42,4.28
15,Sun,December 19,1:00PM ET,boxscore,L,,3-11,@,Miami Dolphins,24,31,16,228,126,102,1,23,379,196,183,3,-6.38,-2.65,1.79
16,Sun,December 26,1:00PM ET,boxscore,W,,4-11,,Jacksonville Jaguars,26,21,18,373,100,273,,27,384,252,132,1,10.13,-8.72,4.81
17,Sun,January 2,1:00PM ET,boxscore,L,,4-12,,Tampa Bay Buccaneers,24,28,22,374,224,150,1,26,467,405,62,1,13.43,-17.50,-0.20
18,Sun,January 9,4:25PM ET,boxscore,L,,4-13,@,Buffalo Bills,10,27,4,53,5,48,,25,424,254,170,,-23.07,-8.18,14.05
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 11,1:00PM ET,boxscore,L,,0-1,,Baltimore Ravens,9,24,24,380,297,83,2,13,274,211,63,1,-8.07,-3.65,-5.04
2,Sun,September 18,1:00PM ET,boxscore,W,,1-1,@,Cleveland Browns,31,30,20,402,309,93,1,29,405,221,184,1,15.19,-17.92,5.38
3,Sun,September 25,1:00PM ET,boxscore,L,,1-2,,Cincinnati Bengals,12,27,19,328,252,76,4,20,330,261,69,1,-16.45,-3.99,6.98
4,Sun,October 2,1:00PM ET,boxscore,W,,2-2,@,Pittsburgh Steelers,24,20,19,348,250,98,2,20,297,178,119,4,-1.46,2.55,2.91
5,Sun,October 9,1:00PM ET,boxscore,W,,3-2,,Miami Dolphins,40,17,21,322,187,135,,19,295,158,137,2,11.86,6.15,3.66
6,Sun,October 16,1:00PM ET,boxscore,W,,4-2,@,Green Bay Packers,27,10,14,278,99,179,,15,278,218,60,1,-2.59,16.24,4.32
7,Sun,October 23,4:05PM ET,boxscore,W,,5-2,@,Denver Broncos,16,9,10,260,105,155,,21,324,219,105,1,-8.14,8.53,8.12
8,Sun,October 30,1:00PM ET,boxscore,L,,5-3,,New England Patriots,17,22,17,387,336,51,3,19,288,161,127,1,-2.30,9.31,-12.01
9,Sun,November 6,1:00PM ET,boxscore,W,,6-3,,Buffalo Bills,20,17,21,310,136,174,1,19,317,183,134,2,7.64,-0.54,-2.11
11,Sun,November 20,1:00PM ET,boxscore,L,,6-4,@,New England Patriots,3,10,6,103,44,59,,13,297,198,99,,-18.64,9.78,5.40
12,Sun,November 27,1:00PM ET,boxscore,W,,7-4,,Chicago Bears,31,10,22,466,308,158,,14,292,165,127,1,20.96,3.97,-3.63
13,Sun,December 4,1:00PM ET,boxscore,L,,7-5,@,Minnesota Vikings,22,27,23,486,366,120,2,21,287,159,128,,1.01,-5.08,-0.01
14,Sun,December 11,1:00PM ET,boxscore,L,,7-6,@,Buffalo Bills,12,20,19,309,233,76,2,14,232,130,102,,-12.35,5.17,-3.77
15,Sun,December 18,1:00PM ET,boxscore,L,,7-7,,Detroit Lions,17,20,18,337,287,50,1,17,359,252,107,,3.71,-2.21,-2.44
16,Thu,December 22,8:15PM ET,boxscore,L,,7-8,,Jacksonville Jaguars,3,19,10,227,161,66,2,19,365,218,147,1,-14.15,-3.00,5.11
17,Sun,January 1,4:05PM ET,boxscore,L,,7-9,@,Seattle Seahawks,6,23,20,279,204,75,3,20,346,148,198,,-16.78,-3.31,4.05
18,Sun,January 8,1:00PM ET,boxscore,L,,7-10,@,Miami Dolphins,6,11,11,187,149,38,,17,302,140,162,,-7.03,3.96,-1.31
,,,,,,,,,,,,,,,,,,,,,,,,
1,Mon,September 11,8:15PM ET,boxscore,W,OT,1-0,,Buffalo Bills,22,16,13,289,117,172,1,19,314,217,97,4,-1.19,4.85,2.27
2,Sun,September 17,4:25PM ET,boxscore,L,,1-1,@,Dallas Cowboys,10,30,12,215,151,64,4,26,382,248,134,,-14.82,-7.01,2.25
3,Sun,September 24,1:00PM ET,boxscore,L,,1-2,,New England Patriots,10,15,12,171,133,38,,17,358,201,157,,-15.20,2.13,6.78
4,Sun,October 1,8:20PM ET,boxscore,L,,1-3,,Kansas City Chiefs,20,23,18,336,228,108,1,24,401,197,204,2,3.25,-10.22,-1.48
5,Sun,October 8,4:25PM ET,boxscore,W,,2-3,@,Denver Broncos,31,21,18,407,173,234,2,18,308,169,139,3,5.79,6.26,2.75
6,Sun,October 15,4:25PM ET,boxscore,W,,3-3,,Philadelphia Eagles,20,14,17,244,155,89,,24,348,268,80,4,-7.52,5.91,8.89
8,Sun,October 29,1:00PM ET,boxscore,W,OT,4-3,@,New York Giants,13,10,12,251,193,58,2,12,194,-9,203,,-20.78,20.38,1.41
9,Mon,November 6,8:15PM ET,boxscore,L,,4-4,,Los Angeles Chargers,6,27,17,270,206,64,3,14,191,107,84,,-25.20,6.47,-1.49
10,Sun,November 12,8:20PM ET,boxscore,L,,4-5,@,Las Vegas Raiders,12,16,14,365,257,108,1,15,274,126,148,2,-7.21,8.01,-3.38
11,Sun,November 19,4:25PM ET,boxscore,L,,4-6,@,Buffalo Bills,6,32,14,155,92,63,4,22,393,263,130,1,-15.34,-14.64,-1.82
12,Fri,November 24,3:00PM ET,boxscore,L,,4-7,,Miami Dolphins,13,34,12,159,130,29,2,22,395,228,167,3,-20.96,-3.64,2.09
13,Sun,December 3,1:00PM ET,boxscore,L,,4-8,,Atlanta Falcons,8,13,14,259,197,62,3,15,194,104,90,,-20.36,11.41,1.05
14,Sun,December 10,1:00PM ET,boxscore,W,,5-8,,Houston Texans,30,6,20,347,268,79,1,10,135,54,81,,2.85,22.37,-3.08
15,Sun,December 17,1:00PM ET,boxscore,L,,5-9,@,Miami Dolphins,0,30,11,103,80,23,4,16,290,213,77,,-28.99,-4.37,5.48
16,Sun,December 24,1:00PM ET,boxscore,W,,6-9,,Washington Commanders,30,28,26,381,217,164,2,18,245,143,102,3,-15.58,3.65,8.61
17,Thu,December 28,8:15PM ET,boxscore,L,,6-10,@,Cleveland Browns,20,37,17,360,253,107,2,20,428,301,127,3,-7.73,-3.15,-3.99
18,Sun,January 7,1:00PM ET,boxscore,W,,7-10,@,New England Patriots,17,3,13,254,69,185,1,6,119,31,88,2,-10.78,27.43,-3.32
,,,,,,,,,,,,,,,,,,,,,,,,
1,Mon,September 9,8:15PM ET,boxscore,L,,0-1,@,San Francisco 49ers,19,32,14,266,198,68,2,24,401,221,180,,-2.83,-11.24,-0.93
2,Sun,September 15,1:00PM ET,boxscore,W,,1-1,@,Tennessee Titans,24,17,16,265,164,101,,20,300,170,130,2,5.83,-1.62,1.94
3,Thu,September 19,8:15PM ET,boxscore,W,,2-1,,New England Patriots,24,3,27,400,267,133,,11,139,61,78,1,18.80,8.75,-11.93
4,Sun,September 29,1:00PM ET,boxscore,L,,2-2,,Denver Broncos,9,10,16,248,184,64,1,12,186,60,126,1,-17.17,15.24,1.09
5,Sun,October 6,9:30AM ET,boxscore,L,,2-3,@,Minnesota Vikings,17,23,17,254,218,36,3,17,253,171,82,2,-20.20,11.27,6.06
6,Mon,October 14,8:15PM ET,boxscore,L,,2-4,,Buffalo Bills,20,23,20,393,272,121,1,24,359,210,149,,13.81,-14.90,-0.34
7,Sun,October 20,8:20PM ET,boxscore,L,,2-5,@,Pittsburgh Steelers,15,37,17,323,269,54,2,21,409,260,149,,-3.83,-16.09,-1.12
8,Sun,October 27,1:00PM ET,boxscore,L,,2-6,@,New England Patriots,22,25,22,336,224,112,,19,248,136,112,,14.41,-5.93,-7.05
9,Thu,October 31,8:15PM ET,boxscore,W,,3-6,,Houston Texans,21,13,17,293,193,100,1,21,322,135,187,1,7.00,2.89,0.61
10,Sun,November 10,4:25PM ET,boxscore,L,,3-7,@,Arizona Cardinals,6,31,17,207,128,79,1,28,406,259,147,,-2.78,-30.29,6.95
11,Sun,November 17,1:00PM ET,boxscore,L,,3-8,,Indianapolis Colts,27,28,10,253,162,91,,18,332,241,91,1,-2.47,-0.71,1.15
